pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Journeyman Distillery Silver Cross Organic Whiskey,Journeyman Distillery,90.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,13964514827|13964514889
Journeyman Distillery Humdinger Jalapeno Organic Spirit,Journeyman Distillery,90.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,13964514896
Old Carter Straight Rye Whiskey,Old Carter,112.2,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,15418909067
Old Carter Straight Bourbon Whiskey Small Batch 14,Old Carter,117.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,15418909678
Rio Brazos Distillery Boxcar Texas Blended Whiskey,Rio Brazos Distillery,90.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,15568102363
Rio Brazos Distillery Texas Bourbon Whiskey 2 Year,Rio Brazos Distillery,90.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,15568102370
Rio Brazos Distillery College Station Texas Corn Whiskey,Rio Brazos Distillery,90.0,American,Other,Other,e707f850-35eb-4d7c-8acf-1abe78d1a559,15568102387
Honey Hole Honey Whiskey,Honey Hole,70.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,15918060039
Lismore Speyside Single Malt Scotch Whisky,Lismore,100.0,Scotch,Scotland,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,15918120092|15918199142|15918200411
Lismore The Legend Single Malt Scotch Whisky 21 Year,Lismore,86.0,Scotch,Scotland,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,15918200640
Lismore Single Malt Scotch Whisky 15 Year,Lismore,80.0,Scotch,Scotland,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,15918201319
Lismore Single Malt Scotch Whisky 18 Year,Lismore,86.0,Scotch,Scotland,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,15918201326
The Inverarity Rare Speyside Single Malt Scotch Whisky,The Inverarity,80.0,Scotch,Scotland,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,16697010000
The Inverarity Blended Scotch Whisky,The Inverarity,80.0,Scotch,Scotland,Other,999f58bb-d56f-4f44-9d27-c184ab6b4eb5,16697010017
McCarthy's Oregon Single Malt Pot Stilled Whiskey,McCarthy's,80.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,16976571000
McCarthy's Oregon Single Malt Whiskey 6 Year,McCarthy's,100.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,16976573615
McCarthy's Oregon Single Malt Whiskey PX Sherry Cask Finished 6 Year,McCarthy's,112.3,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,16976573714
River Basin Distillery Hand-Finished Rye Whiskey 2 Year,River Basin Distillery,94.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,18705043536
